M/Msun,X,Y,log L/Lsun,log Teff,R_10,T_(c_6,rho_c,log Pc,q_c,q_env
60,0.74,0.24,5.701,4.683,70.96,39.28,1.93,16.22,0.73,0
40,0.74,0.24,5.345,4.642,56.89,37.59,2.49,16.26,0.64,0
30,0.74,0.24,5.066,4.606,48.53,36.28,3.05,16.29,0.56,0
20,0.74,0.24,4.631,4.547,38.73,34.27,4.21,16.37,0.46,0
15,0.74,0.24,4.292,4.498,32.89,32.75,5.48,16.44,0.4,0
10,0.74,0.24,3.772,4.419,25.94,30.48,8.33,16.57,0.33,0
7,0.74,0.24,3.275,4.341,20.99,28.41,12.6,16.71,0.27,0
5,0.74,0.24,2.773,4.259,17.18,26.43,19,16.84,0.23,0
3,0.74,0.24,1.951,4.118,12.76,23.47,35.8,17.06,0.18,0
2,0.74,0.24,1.262,3.992,10.3,21.09,47,17.21,0.13,neg.
1.75,0.74,0.24,1.301,3.948,9.695,20.22,66.5,17.25,0.11,neg.
1.5,0.74,0.24,0.759,3.892,9.151,19.05,76.7,17.28,0.07,neg.
1.3,0.74,0.24,0.496,3.834,8.827,17.66,84.1,17.28,0.03,neg.
1.2,0.74,0.24,0.34,3.8,8.648,16.67,85.7,17.26,0.01,1.00E-07
1.1,0.74,0.24,0.16,3.771,8.032,15.57,84.9,17.22,0,5.00E-05
1,0.74,0.24,-0.042,3.752,6.931,14.42,82.2,17.17,0,0.0035
0.9,0.74,0.24,-0.262,3.732,5.902,13.29,78.5,17.11,0,0.02
0.75,0.73,0.25,-0.728,3.659,4.834,10.74,81.5,-,0,-
0.6,0.73,0.25,-1.172,3.594,3.908,9.31,79.1,-,0,-
0.5,0.7,0.28,-1.419,3.553,3.553,9.04,100,17.1,0,-
0.4,0.7,0.28,-1.723,3.542,2.64,8.15,104,17.04,0,-
0.3,0.7,0.28,-1.957,3.538,2.054,7.59,107,17.05,*,1
0.2,0.7,0.28,-2.238,3.533,1.519,6.53,180,17.24,*,1
0.1,0.7,0.28,-3.023,3.475,0.805,4.51,545,17.68,*,1
0.08,0.7,0.28,-3.803,3.327,0.65,3.3,775,17.83,*,1
