M/Msun,X,Y,log L/Lsun,log Teff,R_10,T_(c_6),rho_c,log Pc,q_c,q_env
72,0.74,0.24,6.353268281,4.775395157,83.6536707,42.23443099,-0.402765133,16.09179177,0.861007264,0
64,0.74,0.24,6.063381598,4.736255206,76.556954,40.90348668,0.465922518,16.14157385,0.797317191,0
60,0.74,0.24,5.701,4.683,70.96,39.28,1.93,16.22,0.73,0
50,0.74,0.24,5.556079903,4.667760291,64.13769976,38.57433414,1.986125908,16.22869249,0.685859564,0
40,0.74,0.24,5.345,4.642,56.89,37.59,2.49,16.26,0.64,0
37.5,0.74,0.24,5.103131961,4.606604116,53.0490799,36.49473366,3.343450363,16.306477,0.586343826,0
30,0.74,0.24,5.066,4.606,48.53,36.28,3.05,16.29,0.56,0
20,0.74,0.24,4.631,4.547,38.73,34.27,4.21,16.37,0.46,0
15,0.74,0.24,4.292,4.498,32.89,32.75,5.48,16.44,0.4,0
12,0.74,0.24,4.17911816,4.481845521,30.4282954,32.25234867,6.112392252,16.46515738,0.383331719,0
10,0.74,0.24,3.772,4.419,25.94,30.48,8.33,16.57,0.33,0
7,0.74,0.24,3.275,4.341,20.99,28.41,12.6,16.71,0.27,0
6,0.74,0.24,3.11380574,4.317243787,19.1257637,27.90161301,13.08487824,16.78871185,0.26249079,-0.000104098
5,0.74,0.24,2.773,4.259,17.18,26.43,19,16.84,0.23,0
4,0.74,0.24,2.040516556,4.120063823,14.64532916,23.57580191,39.46617085,16.98176343,0.171742119,0.000367618
3,0.74,0.24,1.951,4.118,12.76,23.47,35.8,17.06,0.18,0
2,0.74,0.24,1.262,3.992,10.3,21.09,47,17.21,0.13,neg.
1.75,0.74,0.24,1.301,3.948,9.695,20.22,66.5,17.25,0.11,neg.
1.6,0.74,0.24,0.880883228,3.90375789,9.346518936,19.0789991,68.35644725,17.24236249,0.078241659,-0.007566383
1.5,0.74,0.24,0.759,3.892,9.151,19.05,76.7,17.28,0.07,neg.
1.3,0.74,0.24,0.496,3.834,8.827,17.66,84.1,17.28,0.03,neg.
1.2,0.74,0.24,0.34,3.8,8.648,16.67,85.7,17.26,0.01,1.00E-07
1.1,0.74,0.24,0.16,3.771,8.032,15.57,84.9,17.22,0,5.00E-05
1,0.74,0.24,-0.042,3.752,6.931,14.42,82.2,17.17,0,0.0035
0.9,0.74,0.24,-0.262,3.732,5.902,13.29,78.5,17.11,0,0.02
0.8,0.730207948,0.249792052,-0.529757858,3.683536176,5.354546229,12.04927898,50.00127823,17.09200328,0,0.221251751
0.75,0.73,0.25,-0.728,3.659,4.834,10.74,81.5,-,0,-
0.6,0.73,0.25,-1.172,3.594,3.908,9.31,79.1,-,0,-
0.5,0.7,0.28,-1.419,3.553,3.553,9.04,100,17.1,0,-
0.45,0.711323353,0.268676647,-1.678904907,3.556451067,3.020397437,8.231709331,176.8322675,16.99416152,0,1
0.4,0.7,0.28,-1.723,3.542,2.64,8.15,104,17.04,0,-
0.3,0.7,0.28,-1.957,3.538,2.054,7.59,107,17.05,*,1
0.25,0.702192958,0.277807042,-2.464505129,3.487612698,1.766612513,6.236582571,343.083569,17.34684561,0,1
0.2,0.7,0.28,-2.238,3.533,1.519,6.53,180,17.24,*,1
0.1,0.7,0.28,-3.023,3.475,0.805,4.51,545,17.68,*,1
0.08,0.7,0.28,-3.803,3.327,0.65,3.3,775,17.83,*,1
,,,,,,,,,,
